instrument,rsi_period,threshold,exit,stop,n_trades,win_rate,expectancy_pct,profit_factor,max_dd_pct,tim_pct,ann_ret_pct,ann_over_tim
^NDX,1,30,close>5SMA,2xATR,1072,51.679104477611936,-0.3319549349098577,0.6159587697349775,-97.75649079839587,47.97729918509896,-12.97402394160999,-27.04200561927323
^NDX,1,30,RSI>65,nostop,1123,47.90739091718611,-0.38198539973264106,0.5324278116842392,-98.91048973384086,47.453434225844006,-15.248873484024884,-32.13439392279025
^NDX,1,30,RSI>65,2xATR,1165,48.32618025751073,-0.4276365767209889,0.5098757077596404,-99.45664169828784,45.561699650756694,-17.383716107044034,-38.154230944620444
^NDX,1,30,time3d,nostop,893,48.04031354983203,-0.23704457147053223,0.7754971968991915,-90.93353918665261,51.9790454016298,-8.42674042753444,-16.21180297256906
^NDX,1,30,time3d,2xATR,904,47.45575221238938,-0.305449239104606,0.7246436868457117,-95.20572999184918,51.164144353899886,-10.541549435895625,-20.60339241281989
^NDX,2,5,close>5SMA,nostop,109,67.88990825688074,0.22728438871223497,1.2489471334126747,-43.148542365802754,7.508731082654249,0.5739439944387081,7.643688236013182
^NDX,2,5,close>5SMA,2xATR,111,62.16216216216216,0.010724809817463432,1.0101205112348148,-28.429948839904284,6.286379511059372,-0.14270697941275445,-2.2700980613991866
^NDX,2,5,RSI>65,nostop,108,68.51851851851852,0.3397402421370415,1.3609477505251135,-41.59022422198616,8.41094295692666,0.9848063203522939,11.708631545780213
^NDX,2,5,RSI>65,2xATR,111,62.16216216216216,0.10437363602448158,1.0958938655930843,-26.996078212940912,6.955762514551804,0.2231923158515725,3.208739737514658
^NDX,2,5,time3d,nostop,114,53.50877192982456,0.04798985616253369,1.053950039506457,-21.64607418339183,6.635622817229336,0.06085958105981337,0.9171645636908717
^NDX,2,5,time3d,2xATR,115,49.56521739130435,-0.18607516934873866,0.8311785613700565,-33.1362676755373,6.344586728754366,-0.9437270790021879,-14.874524052529896
^NDX,2,10,close>5SMA,nostop,217,63.594470046082954,0.17504892227455957,1.2176617094737987,-42.847854546568485,15.017462165308498,0.968560239743943,6.4495600460468765
^NDX,2,10,close>5SMA,2xATR,229,61.572052401746724,-0.040616760685311115,0.9579823513853434,-28.38309476018315,13.344004656577416,-0.632193071903786,-4.737656259675919
^NDX,2,10,RSI>65,nostop,213,66.19718309859155,0.25856311433025425,1.3294571528688326,-40.716003795840585,16.196158323632133,1.5919603683784311,9.829246766843285
^NDX,2,10,RSI>65,2xATR,226,64.15929203539822,-0.001128328317941854,0.9988580590899381,-27.06845117224065,14.071594877764843,-0.3153696471885792,-2.2411791266596857
^NDX,2,10,time3d,nostop,237,49.36708860759494,-0.08884382438438222,0.9101591671425983,-43.36038462890317,13.79511059371362,-1.1553741474298107,-8.375243819765464
